Datetime,Water Level (m)
2003-01-01,13.26200008392334
2003-01-02,13.394000053405762
2003-01-03,13.319000244140623
2003-01-04,13.267999649047852
2003-01-05,13.218000411987305
2003-01-06,13.19200038909912
2003-01-07,13.217000007629396
2003-01-08,13.22599983215332
2003-01-09,13.222000122070312
2003-01-10,13.236000061035154
2003-01-11,13.244000434875488
2003-01-12,13.229999542236328
2003-01-13,13.241999626159668
2003-01-14,13.218000411987305
2003-01-15,13.248000144958494
2003-01-16,13.223999977111816
2003-01-17,13.225000381469728
2003-01-18,13.232000350952148
2003-01-19,13.243000030517578
2003-01-20,13.24899959564209
2003-01-21,13.223999977111816
2003-01-22,13.220999717712402
2003-01-23,13.258000373840332
2003-01-24,13.25100040435791
2003-01-25,13.26099967956543
2003-01-26,13.28499984741211
2003-01-27,13.225000381469728
2003-01-28,13.229000091552734
2003-01-29,13.263999938964846
2003-01-30,13.260000228881836
2003-01-31,13.300999641418455
2003-02-01,13.340999603271484
2003-02-02,13.348999977111816
2003-02-03,13.265999794006348
2003-02-04,13.288999557495115
2003-02-05,13.253999710083008
2003-02-06,13.230999946594238
2003-02-07,13.22599983215332
2003-02-08,13.244000434875488
2003-02-09,13.246999740600586
2003-02-10,13.253000259399414
2003-02-11,13.246999740600586
2003-02-12,13.241000175476074
2003-02-13,13.22599983215332
2003-02-14,13.22700023651123
2003-02-15,13.239999771118164
2003-02-16,13.211999893188477
2003-02-17,13.192999839782717
2003-02-18,13.194000244140623
2003-02-19,13.199000358581545
2003-02-20,13.175000190734863
2003-02-21,13.156999588012695
2003-02-22,13.144000053405762
2003-02-23,13.138999938964846
2003-02-24,13.135000228881836
2003-02-25,13.130999565124512
2003-02-26,13.128999710083008
2003-02-27,13.128000259399414
2003-02-28,13.128999710083008
2003-03-01,13.128999710083008
2003-03-02,13.125
2003-03-03,13.12399959564209
2003-03-04,13.123000144958494
2003-03-05,13.121999740600586
2003-03-06,13.121000289916992
2003-03-07,13.121999740600586
2003-03-08,13.125
2003-03-09,13.126999855041506
2003-03-10,13.128000259399414
2003-03-11,13.128000259399414
2003-03-12,13.133000373840332
2003-03-13,13.13599967956543
2003-03-14,13.135000228881836
2003-03-15,13.156000137329102
2003-03-16,13.269000053405762
2003-03-17,13.388999938964846
2003-03-18,13.416999816894531
2003-03-19,13.395000457763672
2003-03-20,13.326000213623049
2003-03-21,13.26200008392334
2003-03-22,13.236000061035154
2003-03-23,13.234999656677244
2003-03-24,13.262999534606935
2003-03-25,13.427000045776367
2003-03-26,13.463000297546388
2003-03-27,13.401000022888184
2003-03-28,13.479000091552734
2003-03-29,13.744000434875488
2003-03-30,13.470000267028809
2003-03-31,13.378999710083008
2003-04-01,13.293999671936035
2003-04-02,13.267000198364258
2003-04-03,13.234000205993652
2003-04-04,13.241000175476074
2003-04-05,13.25
2003-04-06,13.267000198364258
2003-04-07,13.234000205993652
2003-04-08,13.211000442504885
2003-04-09,13.225000381469728
2003-04-10,13.222000122070312
2003-04-11,13.284000396728516
2003-04-12,13.307000160217283
2003-04-13,13.277000427246096
2003-04-14,13.30799961090088
2003-04-15,13.449000358581545
2003-04-16,13.434000015258787
2003-04-17,13.321999549865724
2003-04-18,13.284000396728516
2003-04-19,13.288000106811523
2003-04-20,13.371999740600586
